Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
賴清德,chingte,100044573580122,POLITICIAN,TW,2020年5月20日宣誓就任第15任副總統,2010-12-15 08:29:54,859205,895366,2024-01-13 22:37:22 CST,2024-01-13,22:37:22,Photo,"61,917",49609,8547,1181,1551,10,53,29,404,533,,-,0,0,0,N/A,https://www.facebook.com/100044573580122/posts/931028168392961,終於，我們一起走到了這裡。謝謝你們，用無比的勇氣，堅持到最後一刻。我們守住了民主，也守住了勝利！ ​ 這是一個屬於台灣的夜晚，我們讓「台灣」繼續成為世界的關鍵字。 ​ 在這場全球關注的大選，台灣告訴全世界，在民主與威權之間，我們選擇站在民主的這一邊，這就是這場選戰對全世界的意義。 ​ 未來，中華民國台灣也會在民主路上，和國際盟友繼續同行，我們沒有讓外部勢力的介選得逞，因為我們相信，自己的總統自己選！ ​ 謝謝大家，讓民進黨在執政八年的努力之後，再給了我們四年，繼續為大家服務。因為，我們堅信台灣一定要繼續走對的路，絕對不走回頭路。 ​ 我和 蕭美琴 Bi-khim Hsiao 會帶領國家，走得更遠、更穩。 ​ 稍早，我已經接到侯市長、柯主席打來的祝賀電話，我要肯定兩位候選人，我也恭喜他們兩位所屬的政黨斬獲國會的席次。同時，我也要恭喜所有的立法委員當選人，我們大家一起寫下了民主的新頁。 ​ 儘管選戰中難免有意見不合，但隨著選舉結束，這一切都已經落幕，取而代之的，是合作的開始。 ​ 我將建立開放政府、公開透明，並推動溝通、協商、參與、合作的政治。 ​ 團結包容，是國家進步、社會和諧，唯一的道路。 ​ 因為，民主自由的生活方式，是我們共同的信仰；中華民國台灣，是我們共有的認同。 ​ 此刻，我的心中，充滿無限的感謝。 ​ 我要感謝投票給我的支持者，堅持到底。特別是返鄉投票的朋友們，還有遠從海外飛回來投票的朋友。你們都是這場勝選的無名英雄，謝謝你們。 ​ 這是一條漫長而艱辛的路，很抱歉讓大家這麼焦急、這麼擔心。 ​ 今天晚上，我希望大家可以帶著笑容回家，好好睡個覺。 ​ 我也要謝謝沒有投票給我的台灣人民，一直以來對民進黨的鞭策。你們的意見，我們也都聽見了。 ​ 這次國會選舉，民進黨席次不如預期，這代表我們還有很多要改進的地方。 ​ 人民期待「有能力的政府」，也期待「有效率的制衡」。我們會誠實面對新民意，時時警惕，穩穩地踏出每一步。 ​ 我要謝謝軍、公、教、警、消同仁，和辛苦的選務人員，堅守崗位，共同完成了一場公平、順利的民主選舉。 ​ 國家的運作，過去是倚靠你們，才有豐碩的成果。未來的發展，要繼續倚靠大家的專業，共同來為人民打拚，謝謝你們為國家的付出，謝謝你們。 ​ 我也要謝謝競選團隊所有工作人員，要打贏一場選戰，是所有人力量的匯集。各位夥伴，你們真的辛苦了。 ​ 不過，這場選戰，民進黨有得也有失。 ​ 國會的選舉不如預期，我們還是要檢討反省，必須把原因找出來，繼續深耕。我們並不完美，但我們一定要做最能回應民意的政黨。 ​ 我還要感謝所有民主大聯盟的候選人，在各地奮戰到底，爭取勝利。恭喜成功者，也勉勵未能如願者，深耕基層，我們大家再接再厲。 ​ 我也要感謝我的競選搭檔，美琴。 ​ 我很抱歉，打亂了你的人生規劃，但我更要感謝你，在關鍵時刻，挺身而出。 ​ 我很期待在未來四年，和你一起並肩作戰，繼續為我們深愛的台灣打拚。 ​ 我要感謝 陳建仁 Chen Chien-Jen 院長和他領導的行政團隊，在這一年來在風雨中，扛起了莫大的責任，穩定政局。 ​ 我要感謝 蘇貞昌 前院長，護國四年，在蔡總統任期中，扮演了舉足輕重的角色。 ​ 沒有你們兩位，就沒有今天的勝利。 ​ 最後，我還要衷心感謝一個人，一個最重要的人，那就是帶領了我們八年的 蔡英文 Tsai Ing-wen 總統。 ​ 蔡英文總統八年來的辛苦與努力，對台灣的貢獻，已經不必多說了。 ​ 他實現了八年前的承諾，那就是：留給我們一個更好的國家。 ​ 這就是為什麼，他可以成為台灣歷史上，第一個完成「民主交棒，延續執政」的總統。 ​ 這場選戰，讓世界看到台灣人民對民主的堅持。這樣的聲音，我希望對岸也能充分理解。 ​ 兩岸之間對話交流，才能降低風險；我們必須用交流取代圍堵，用對話取代對抗，才能和平共榮。 ​ 唯有「和平、對等、民主、對話」，才最符合兩岸人民的利益，也是雙贏的唯一出路。 ​ 親愛的國人同胞，我要再次感謝，大家共同守護了台灣的民主，守護了自己深愛的國家。 ​ 明天開始，讓我們捲起袖子，在各自的崗位上，繼續打拚。 ​ 我也要提醒大家，選戰已經過去了，身邊的好友，無論支持誰，我們都要放下對立，互相擁抱，關心彼此。因為我們，永遠是一家人。 ​ 民主，是我們的驕傲。 ​ 讓我們相信民主、相信台灣、相信人民，我們繼續走下去、拚下去。 ​ 謝謝大家。,https://www.facebook.com/photo.php?fbid=931027211726390&set=a.519537102875405&type=3,,,,,,,,5.97
柯文哲,DoctorKoWJ,100044470088043,PERSON,TW,"現任台灣民眾黨主席，前臺北市市長、臺大醫院急診部醫師、臺大醫院創傷醫學部主任、臺大醫學院教授
興趣:建立SOP

人生哲學：
對的事情認真做，不對的事不要做
心存善念，盡力而為
",2011-10-20 12:27:28,2068093,2201185,2024-01-13 21:32:41 CST,2024-01-13,21:32:41,Photo,"275,164",207170,33836,3921,4475,50,463,1498,347,23404,,-,0,0,0,N/A,https://www.facebook.com/100044470088043/posts/915148559977472,大家晚安，我要跟你們說一聲，謝謝。 謝謝你們，在這一次選舉中，在藍綠夾殺之下，挺身站出來，與我們一起打拼。謝謝你們，面對藍綠的高牆，不曾放棄，與我一起拚戰到這一刻。我也要謝謝我的競選團隊，以及在全國各地挺身而出的小草們。還有，從富貴角步行到恆春再回到台北，總計一千多公里的守台灣團隊。辛苦你們了。 從你們身上，我看到台灣人民如何熱愛這個國家；我也再一次確認到，你們就是臺灣的希望。 這一次選舉，我們沒有取得勝選。但是，我們已經成功向世界正式證明，臺灣不是只有藍綠。最重要的，我們向世界證明，民主始終都是臺灣最重要的資產。 我們透過小額募款，證明政治真的可以不一樣。我們提出的政策軸線，也協助對永續國家的願景帶來更成熟的規劃。 選舉的激情是短暫的，但我們愛護這個國家的理想與熱情，永遠都不會熄滅。在追求公義，邁向永續國家的道路上，柯文哲不會放棄。 我相信你們也不會放棄。因為，你們始終是這個國家的未來。你們始終都是柯文哲與台灣民眾黨，持續奮鬥的理由。 這一次，臺灣民眾黨成為關鍵在野力量，我要在這裡以台灣民眾黨黨主席的身份，跟大家說一聲謝謝，謝謝你們的信任與託付。 這每一張選票，都是表達對於我們的認同與肯定。 這是台灣第一次在藍綠夾殺之下，撐出三黨鼎立的全新局面。這代表台灣真的需要藍綠之外的聲音，而且，這個聲音會成為國家方向的關鍵力量。在民主政治中，在野是監督的力量，是政治的良心，也是人民可以信賴的重要力量。所以，我要請你們不要放棄，因為我不會放棄，台灣民眾黨也不會放棄。我們會一直在這裡，做台灣的良心，做你們的靠山。 各位親愛的臺灣人民，臺灣民眾黨在這裡承諾，我們不會辜負你們的期望，我們會堅定地持實踐我們的信念，守護這個國家，守護我們的未來。 今晚，我知道你們都很難過。但我們其實沒有難過的時間。這個國家會一直轉動，我們需要繼續努力下去。 我們不會因為挫折而放棄，只要我們持續熱愛臺灣，只要你們還堅持著，只要你們不放棄，我們就沒有放棄的理由。 明天，我還是一樣會準時七點半上工。你可以沮喪一下，但是明天起床後，記得打起精神。我們要繼續為了我們的未來打拼。 我們只有一個台灣，我們的未來還是必須靠我們自己救。只要我們繼續努力下去，下一個四年，我相信，我們會贏得更多的認同，團結更多的力量。下一次，我們一定可以執政，一定可以贏回這個國家！ 這就是民主最美好的地方。只要我們勇敢向前，理想就有機會實現。 我們會持續義無反顧拼下去。親愛的臺灣人民，我會繼續奮鬥，把政治落實在人民生活的每一天，這場以改變政治文化的公民運動會持續下去，直到理想實現的那一天到來，我們要繼續勇敢，繼續向前。 我們今天還沒有走到運動的終點，但我們已經向前邁進一大步。我們一定會繼續努力。四年後，我相信我們會像今天一樣，自信地把票投給柯文哲，把票投給台灣民眾黨。 明天太陽升起，讓我們一樣繼續為了我們的國家打拼。總有一天，我們會贏得屬於我們的勝利。 謝謝大家！,https://www.facebook.com/photo.php?fbid=915148546644140&set=a.520233149469017&type=3,,無論未來不管還有多少困難， 我們都不會停止追求公平正義的脚琴。 我不會停下脚步， 繼續相信， 獲相信，美好台灣一定會實現。 美好台灣 定會買現。 f 柯文哲,,,,,,9.81
侯友宜,houyuih,100044642490075,POLITICIAN,TW,顧好台灣，人民好康！,2016-05-26 07:40:26,624404,674954,2024-01-13 21:05:47 CST,2024-01-13,21:05:47,Photo,"46,249",30226,8903,336,530,20,241,277,115,5601,,-,0,0,0,N/A,https://www.facebook.com/100044642490075/posts/938349044329837,全體國人朋友，大家晚安。 對於總統選舉的結果，我個人努力不夠，很遺憾未能完成政黨輪替，讓大家非常失望，我要負起所有責任，所有責難我會一肩扛起，我向所有支持者致上最深的歉意。 這次國民黨全黨上下一心、空前團結，但很可惜，我們沒有完成政黨輪替，我非常感謝各縣市首長對我的支持，非常感謝所有區域及不分區立委候選人的協助，更感謝所有投票給我的支持者，我辜負了大家。 我要特別感謝趙少康先生，他在關鍵時刻義無反顧擔任我的副手，全力支持我，我對他充滿感激。我也要謝謝朱立倫主席、馬英九總統、連戰副總統、蕭萬長副總統、吳伯雄主席及台灣公道伯 王金平院長在選戰中給予我的支持與勉勵。 我也要感謝金溥聰執行長，在我最困難的時候，二話不說力挺，感謝競選團隊所有成員，沒有你們我無法完成這次選戰，你們是最棒的，謝謝你們。 我尊重台灣人民最後做出的選擇，民主選舉就是人民作主。在這邊我除了恭喜賴清德、蕭美琴兩位當選，也期許他們不要辜負人民對執政者的期待，執政者要真正把人民的聲音放在心上。 這次選舉過程相當激烈，但更重要的是，我希望各黨派選後一定要團結，共同面對台灣各項艱困的挑戰，尤其是民眾最關切的台海安全及美中台關係，執政者真的要好好面對，讓台灣民眾有安定歲月。 民進黨執政這8年來，有做不好的地方，對於人民期待改變的聲音，也要聽進去，要打造清廉有效能的政府，讓台灣人民期待、信任的政府，這是所有人最深的盼望。 對於選舉結果，我知道大家會難過、會失望，我都理解，也很不捨，因為大家都深愛著這塊土地、深愛著自己的家人，深愛著我們的國家。 可以難過，但不要氣餒，讓我們化悲憤為力量，這是監督民進黨的力量、這是台灣進步的力量、更是捍衛中華民國的力量，我們不會散，也不會就此消失。相反的，我們會更加茁壯、更加堅毅。 這段時間，我走過大街小巷，感受到每一個民眾給我們的熱情與溫暖，每一雙手、每一句加油的聲音，侯友宜一輩子會牢牢記在心上。明天我就會捲起袖子上工，不辜負支持者以及人民對我們的期待，謝謝大家。,https://www.facebook.com/photo.php?fbid=938347947663280&set=a.265757784922303&type=3,,,Photos from 侯友宜's post,,,,,4.7
賴清德,chingte,100044573580122,POLITICIAN,TW,2020年5月20日宣誓就任第15任副總統,2010-12-15 08:29:54,859205,895366,2024-01-13 17:54:18 CST,2024-01-13,17:54:18,Live Video Complete,"34,467",17584,13533,753,2088,7,41,18,244,199,crosspost,No,206068,216320,277289,03:51:40,https://www.facebook.com/100044573580122/posts/7163415787027480,【直播中】24-01-13 迎向勝選，開票之夜,https://www.facebook.com/chingte/videos/7163415787027480/,,,【直播中】24-01-13 迎向勝選，開票之夜,,,,,5.2
侯友宜,houyuih,100044642490075,POLITICIAN,TW,顧好台灣，人民好康！,2016-05-26 07:40:26,624404,674954,2024-01-13 17:02:20 CST,2024-01-13,17:02:20,Live Video Complete,"10,725",4762,4940,82,521,8,94,54,42,222,crosspost,Yes,181924,182511,213221,03:06:00,https://www.facebook.com/100044642490075/posts/3703530246575682,【Live直播】侯友宜趙少康開票之夜,https://www.facebook.com/houyuih/videos/3703530246575682/,,,【Live直播】侯友宜趙少康開票之夜,,,,,2.48
侯友宜,houyuih,100044642490075,POLITICIAN,TW,顧好台灣，人民好康！,2016-05-26 07:40:26,624404,674954,2024-01-13 11:07:28 CST,2024-01-13,11:07:28,Photo,"20,880",17897,2413,81,201,4,51,11,47,175,,-,0,0,0,N/A,https://www.facebook.com/100044642490075/posts/938048157693259,各位鄉親好朋友早安，您投完票了嗎？ 剛剛跟許多鄉親，一起站在隊伍中等待投票，彼此之間，不談政治，只有寒暄關心，暖暖的人情味，如同台灣大街小巷最美麗的日常。 選舉是過程，最重要的是不分你我，團結每個人的力量，請大家一起站出來，投下您手中神聖的一票，讓我們一起迎向台灣更好的未來！,https://www.facebook.com/photo.php?fbid=938047957693279&set=a.265757781588970&type=3,,,Photos from 侯友宜's post,,,,,2.01
賴清德,chingte,100044573580122,POLITICIAN,TW,2020年5月20日宣誓就任第15任副總統,2010-12-15 08:29:54,859205,895366,2024-01-13 10:08:08 CST,2024-01-13,10:08:08,Photo,"50,532",45082,3674,230,923,6,32,8,183,394,,-,0,0,0,N/A,https://www.facebook.com/100044573580122/posts/930701595092285,早安，我投完票了！ 今天各地天氣都很晴朗，但還是有點寒冷。大家出門投票，請注意保暖，我們晚上見！,https://www.facebook.com/photo.php?fbid=930701531758958&set=a.519537112875404&type=3,,票 處,,,,,,4.52
柯文哲,DoctorKoWJ,100044470088043,PERSON,TW,"現任台灣民眾黨主席，前臺北市市長、臺大醫院急診部醫師、臺大醫院創傷醫學部主任、臺大醫學院教授
興趣:建立SOP

人生哲學：
對的事情認真做，不對的事不要做
心存善念，盡力而為
",2011-10-20 12:27:28,2068093,2201185,2024-01-13 09:41:35 CST,2024-01-13,09:41:35,Photo,"143,487",123956,16229,428,1524,28,279,76,204,763,,-,0,0,0,N/A,https://www.facebook.com/100044470088043/posts/914839500008378,投票完畢！ 今天天氣不錯， #投票率 應該會很高，台鐵、高鐵月台現在還是有好多返鄉投票人潮，台灣要是推動網路投票，對大家就會方便多了！ 每天 #認真做好應該做的事，今天最重要就是實踐公民的責任與權利，一定要去投票。提醒大家，記得要把身上所有有候選人意向的別針、貼紙、符號拿掉，不過，穿白色還是可以的😊 祝大家投票順利，晚上見！,https://www.facebook.com/photo.php?fbid=914839460008382&set=a.520233149469017&type=3,,柯文哲,Photos from 柯文哲's post,,,,,4.93
柯文哲,DoctorKoWJ,100044470088043,PERSON,TW,"現任台灣民眾黨主席，前臺北市市長、臺大醫院急診部醫師、臺大醫院創傷醫學部主任、臺大醫學院教授
興趣:建立SOP

人生哲學：
對的事情認真做，不對的事不要做
心存善念，盡力而為
",2011-10-20 12:27:28,2063355,2196545,2024-01-12 23:15:22 CST,2024-01-12,23:15:22,Photo,"73,477",67684,3610,755,815,14,98,22,87,392,,-,0,0,0,N/A,https://www.facebook.com/100044470088043/posts/914595640032764,這麼多年來，我們都希望打造一個公平正義、有美好未來的國家。 這一次，我決定扛起責任，守護我們的民主，這一次我決定，要跟你們一起贏回這個國家，這一次 我跟你們一樣，要贏下屬於我們自己的未來。 這一次 我們一定要突破藍綠！ 我們不只是第三勢力。 我們就是臺灣。 我們 一定可以改變這個國家！ 我們 一定可以翻轉我們的未來！ #相信美好台灣 #唯一選哲,https://www.facebook.com/photo.php?fbid=914595620032766&set=a.520233149469017&type=3,,我們不只是第三勢力。 我們就是臺灣。 V) 我們，一定可以改變這個國家！ 我們 我們 ，一定可以翻轉我們的未來 唯一選哲 1 開u 柯文哲 防奥步， 守民主， 堅定票投柯文哲,,,,,,2.83
侯友宜,houyuih,100044642490075,POLITICIAN,TW,顧好台灣，人民好康！,2016-05-26 07:40:26,623075,673674,2024-01-12 23:04:30 CST,2024-01-12,23:04:30,Photo,"23,799",21212,1932,170,150,8,59,4,74,190,,-,0,0,0,N/A,https://www.facebook.com/100044642490075/posts/937762817721793,藍白團結合作，終結綠色貪腐，藍白政黨合作，實現聯合政府！ 今晚，爆場的25萬名鄉親，用行動展現，一定要政黨輪替的決心。感謝新北市民朋友，13年來我們一起打拚，帶給新北改變；感謝全台灣人民，為了守護中華民國安全，讓台灣這片土地重返安定繁榮，我們一起走到了這裡，距離讓台灣再出發，只剩最後一步。 總統選舉，就是國家路線、政策路線的總選擇，我和賴清德的路線，就是和平與戰爭的選擇、清廉與貪腐的選擇、反廢死與廢死的選擇、能源永續與繼續反核的選擇、中間路線與仇中抹紅的選擇。 這五條國家路線，民進黨統統對不起台灣人民！至於民眾黨的柯文哲主席是什麼路線，我不清楚，但是我們歡迎白色力量，加入我們的五大路線。 人民期待政黨輪替，但三腳督的態勢，勢必要集中在野力量，才有可能下架民進黨，而三黨之間的差異，誰讓人民安心，一眼就能明白： 民進黨，黑金貪腐進行式，人人都知； 民眾黨，還在長大進行式，一人帶全黨很辛苦； 國民黨，團結改革進行式，我們不斷改革、進步當中。 雖然我回國民黨時間不長，趙少康也失聯20多年，少康兄以前還常常鞭策國民黨，但國民黨提名我們，就是來改革的！看看我們的縣市長，蔣萬安市長、盧秀燕市長、張善政市長、黃敏惠市長等等，還有由韓國瑜帶領的專業不分區立委，以及區域立委諸多年輕戰將，國民黨就是政黨輪替的最堅強戰隊，這次的國會，不但有機會超過民進黨，更會大力改革，用更謙卑態度，完成執政最後一塊拼圖！ 第四次政黨輪替，為全民所深深期盼，選前最後一晚，我要再次誠摯邀請白色力量的同伴們一起打拚，「關鍵時刻，集中選票！政黨要輪替，人民才勝利！」雖然藍白合作的過程中，柯主席一再羞辱我，甚至抹紅我，但我從未惡言相向，連難聽的話，都沒有講過。 因為，為了台灣更好，我可以忍耐；為了政黨輪替，我可以吞下。 因為，我記得蔣渭水前輩說的「同胞需團結，團結真有力」，不分藍白，咱大家團結，才能實現政黨輪替！ 因為，我記得經國先生所說，「今天不做，明天就後悔」，藍白選民，集中力量、明天才不會後悔！ 現在，已經是一對一對決的時刻，是我和賴清德的對決，為了政黨輪替，懇請所有主流民意，投給最強的3號侯友宜、趙少康，懇請偉大的台灣人民站出來，讓我們一起創造歷史，完成台灣第四次政黨輪替！ 票投侯康、和平有望、經濟好康！ 票投侯康、政黨輪替、人民勝利！ 113投3號、台灣一定好、台灣一定贏！,https://www.facebook.com/photo.php?fbid=937762544388487&set=a.265757784922303&type=3,,,Photos from 侯友宜's post,,,,,2.21
