,serial_number,User Name,URL,Post Created,combined_text,mention_other,mentioned_other,attack,target,description
181,500,TerryGou1018,https://www.facebook.com/100044631150325/posts/1013722606719978,2023-08-28 10:02:02 CST,【主流民意大聯盟】記者會,yes,主流民意大聯盟,no,,
147,501,TerryGou1018,https://www.facebook.com/100044631150325/posts/851155473048817,2023-08-28 12:30:04 CST,【郭台銘參選中華民國總統聲明】 我郭台銘，今天鄭重向各位報告，我決定以總統參選人的身分，投入2024總統大選。 我這一輩子，在創業的路上不斷奮鬥，在科技產業圈持續打拚，於慈善志業盡綿薄之力，幾乎絕大多數的時間，都與「政治」沒有直接的關係，也沒有動過「從政」的念頭。 然而，這七年多來，看著台灣的政經局勢，逐漸從過往的興盛，走到懸崖邊上，若不懸崖勒馬，將墜入無法回頭的深淵裡。我們必須下架民進黨！ 民進黨七年多來的執政，對外，把台灣帶向戰爭的危險，對內，國政方針充滿各種錯誤。無法解決台灣產業發展與人民生活的困境，甚至還掌控媒體，以網軍治國，如此傲慢跋扈，人民已忍無可忍。在去年九合一大選中，多數民意已經清楚表達了強烈疑慮和不滿！ 過去幾個月以來，我一直努力號召在野陣營團結整合，遺憾的是，過去三個多月來，在野力量仍然各有計算，整合工作完全沒有進展。因此我在七月底，提出了 #主流民意大聯盟 的倡議。 這段時間來，我們看不到針對國家願景與公共政策，有任何實質的討論，特別是「兩岸和平、國際關係、經濟發展、科技升級」，這些攸關台灣未來前途的決定性方針，至今仍流於空洞的陳述。 今天，我宣佈參選總統，並全面展開連署，以取得參選資格，就是要代表主流民意，予以整合藍白兩黨，因為我堅信，民意永遠大於黨意，公益永遠大於私利。 連署的意義，不只表示支持郭台銘個人，更是支持多數人民所企盼的改變，支持重要公共政策的討論，支持台灣繼續前進的力量。 我的參選，就是要推進在野整合，參選是為了整合，整合才能勝選！ ＊ 過去這段時間，從南到北，從東到西，握過數萬雙勤樸的雙手，看到數十萬渴望改變的眼神，更多基層民眾希望我挺身而出，扮演「主導改變」的角色，讓陷入僵局的在野力量，能夠啟動整合，重現生機。 我在產業圈具有將近五十年的歷練，深知台灣各項產業的優勢，以及亟需升級的種種細節。我具有豐沛的國際視野，深知在AI人工智慧的新時代，台灣該如何轉型成全世界皆倚重的關鍵角色。 台灣未來的總統，需要具有對產業發展的洞察力、對世界經濟局勢的理解力，更需要有帶領人民走出困局的執行力。這是台灣未來總統迫切需要的領導力，「企業家治國」的時代來臨了。 我郭台銘，在幾位總統候選人當中，是唯一具備經營管理能力的企業家。是一位擁有將近五十年實務經驗的企業家，放眼台灣政壇，舍我其誰？ 所以我決定參選總統，以實際的行動，拉回這場大選的主軸，聚焦國家政策與人民福祉的討論。 台灣需要： 「講真話的政治，有未來的政府， 　沒戰爭的國家，有能力的總統。」 面對台海與中美關係的兵凶戰危，台灣絕對不能成為烏克蘭，我也絕對不會讓台灣成為 下一個烏克蘭。懇請所有民眾，給我四年的時間。我保證，我會為台海帶來未來五十年的和平，奠定兩岸最深厚的互信根基。 ＊ 台灣經濟狀況急速衰退，根據行政院主計處最新預估，今年經濟成長率將下修至1.95％，全年「保二」無望。我懂財經，並擁有經營能力，我保證有能力，讓新政府的經濟成長率超過一倍！ 給我四年的時間，我會發展科技和經濟，讓台灣在20年內超越新加坡，成為亞洲 人均GDP最高的「亞洲首富」！給我四年的時間，我會建構完整的興利除弊制度，打造最廉能的政府。新加坡能，台灣一定也能！ 台銘的參選，是要重啟台灣命運的改變，改造台灣的政治生態，回應真正主流民意的期盼。 今天，台灣的主流民意，就是要實現政權的輪替，終止腐敗無能的民進黨繼續執政。 今天，台灣的主流民意，希望能捍衛中華民國永生永世，所以： 我們要和平，不要戰爭， 我們要團結，不要撕裂， 我們要繁榮，不要衰敗， 我們要清廉，不要貪腐。 ＊ 透過主流民意大聯盟的平台，在野陣營的各候選人，可以共同商議出最適當的整合方式，找出符合人民期待的候選人。 更重要的是，主流民意大聯盟是一個凝聚共識的機制，大家一起建構「非綠聯合競選平台」，我們既競爭又合作，針對目前台灣產業發展的困境，以及人民生活所面對的問題，找出實質的解決方案，提出最好的國家政策，一起面對，共同回應主流民意的期盼。 台灣人民希望改變，改變帶給人民希望。 各位親愛的朋友，我看見今天台灣的命運，已走到懸崖邊上，如果不能起飛躍升，就會墜入萬丈深淵。所以我必須挺身而出。 沒有台灣，就沒有郭台銘，台銘生在台灣，白手起家，創造世界級企業。今天的一點一滴，都是台灣人民和土地，給台銘的恩賜；我會為台灣拼經濟，讓人民更富有。 我保證，我將竭盡所能，讓勞保基金不會破產，不會讓千萬名勞工血本無虧； 我保證，我將傾盡全力，讓健保基金不會破產，政府會加強補助、充實健保財務，讓醫界得到公平的報酬，不會血汗過勞，也讓民眾看病也得到更好的待遇。 為了孩子的明天，為了子孫的未來，我願意燃燒自己，照亮台灣，將我畢生的才能，奉獻給我最摯愛的中華民國，鞠躬盡瘁，死而後已。 我期許自己能成為團結的最大公約數，我也將繼續邀請在野陣營其他兩位候選人，一起坐下來，你喝咖啡，我喝奶茶，一起好好商談國家大事。 這次總統大選對於中華民國的安危，以及台灣未來的發展，至關重要，「咬定青山不放鬆，立根原在破岩中」， 請大家支持郭台銘的理念，請大家支持主流民意大聯盟的倡議，讓我們大家一起攜手完成目標，重新帶給台灣人民希望！ 台灣加油！中華民國萬歲！謝謝大家！🇹🇼,yes,"民進黨, 藍白, 主流民意大聯盟",yes,民進黨,"Big criticism on everything 民進黨, also mentions they. Raising prospects of war, corruption, bad economy, etc, etc."
219,511,TerryGou1018,https://www.facebook.com/100044631150325/posts/851975072966857,2023-08-30 06:00:35 CST,主流民意，希望庶民的生活能真正被改變！ 年輕時，我曾經當過六年的運將，不過不是載人，而是載貨。每天早上六點起床，到三重載貨，再送貨到中和，每天都凌晨一兩點睡。 便當在車上吃，累了就睡車裡，久坐常常讓腰有點不舒服。運將們的辛勞，以及帶來的種種危險，我都能體會，我也懂那種只要能撐起家庭，再苦都甘之如飴的心情。 昨晚有幸參加台北市計程車工會的普渡餐會，真的很謝謝理事長、以及所有運將們的支持。我知道大家希望生活能更好、賺更多錢，這也是 #主流民意大聯盟 存在的意義。 回想疫情期間百業凋零，大家真的辛苦了，聽到 柯文哲主席談論當時的 #防疫計程車 ，我感到非常佩服。不論黨派，只要是好的政見，就得學習。在政黨壁壘分明的今日，我認為這是最重要的精神，相互欣賞、彼此砥礪，就是團結的基礎。今日柯主席行程繁忙，希望有機會能再一起喝杯奶茶，共商國事！ 我也知道，疫情之後，民眾的搭乘習慣跟著轉變，多元共享服務興起，讓傳統的計程車運將們，感受到很大的壓力，傳統運將的聲音應該被聽見。阿銘來自基層，我懂大家的辛苦，對於大家提出的保障司機與派遣系統的權利義務，制定保險機制與收費，以及擴大補助使用電動車營業，我都非常的支持。 過去數十載，我白手起家，創造了世界級企業，日後我會繼續秉持開疆闢土的精神，改善大家的生活，為台灣拚經濟，讓人民更富有！ 全力幫助台灣產業轉型，實現台灣人民心之所向，我會全力以赴，謝謝大家！,yes,"主流民意大聯盟, 柯",no,,
177,515,TerryGou1018,https://www.facebook.com/100044631150325/posts/852158296281868,2023-08-30 15:30:50 CST,如果連領獎學金都可以批鬥，代表這是一個失去良知的政黨。 我是白手起家，能有今日要感謝諸多貴人，我相信人取之於社會，就要用之於社會。人生或許不公平，但教育必須盡可能平權。 全台灣每位設立獎學金的善良賢達，都希望優秀的清寒學子們，不用再因為家中經濟壓力或突發變故，不得已放棄學業。告訴他們能力絕對可以爭取到機會，不要因為出身而低頭，更不要因為一時困境而懷憂喪志。 沒想到一到了選舉，民進黨連這也能當做攻擊題材，無聊透頂至極，接下來的題材，可能就是聯絡簿的簽名。 管理學裡頭有個「酒與污水定律」，把一湯匙的酒滴進一桶乾淨的水中，得到的是一桶髒水。比喻組織裡只要出個破壞者，就會讓前人的努力付諸東流。 民進黨上至立委，下至側翼，正事不幹專潑髒水，最終污染的是整個社會。你們以為攻擊的是政敵，事實上傷害的是台灣社會的良善與互信。以後誰還想做善事？以後誰還敢接受幫助？你們的起心動念，最終將讓社會進步，還是讓台灣沈淪？ 社會大眾眼睛雪亮，種種劣行都看在眼裡，主流民意對這些爛戲碼早已厭倦。我們會團結努力，實現民意心之所向，全力下架民進黨！,yes,民進黨,yes,民進黨,
1021,521,TerryGou1018,https://www.facebook.com/100044631150325/posts/852649852899379,2023-08-31 15:04:23 CST,兩岸交流，不能再拖下去了，我呼籲陸委會立刻開放陸客來台！ 走過疫情寒冬，各國早已恢復交流，今年的報復性旅遊潮，不只國人連假期間搶著出去玩，各商圈也向國際旅客招手，唯獨兩岸間仍隔著一道看不見的心牆。 兩岸關係無他，用相互對話取代衝突，只有交流才能化解干戈。開放陸籍觀光客來台，遞出橄欖枝，才能化解現階段的惡意螺旋。 這是朝野共識，連不再喜歡「#台獨金孫」稱號的 賴清德 先生也大力支持，要讓第三地中國人來台，並研究開放陸客團，強調「樂意與中國交流」。以前辣台妹不敢說的，他全部大聲地喊了出來。 綜觀其兩岸觀光相關發言，2008年，時任民進黨立委賴清德，說兩岸直航叫「木馬屠城」；2015年，時任台南市長賴清德被問到陸客問題時，只會不斷跳針「我支持台獨」，強調只要「自立自強」就不擔心衝擊觀光。 2017年，賴清德高喊「親中愛台」，到了2019年，在副總統的辯論會上又變成「抗中保台」。 今年起，又忽然成了「和平保台」，賴清德的最新夢想，是當習近平的「同飯人」。果然 #政治變色龍 當久了，就不會再記得初衷了。 我的目標從未改變，就是全力推動兩岸交流、化解兵凶戰危，創造和平、繁榮、清廉的中華民國。為了這個理想，我會集結一切可團結的力量，打敗一騙再騙、說變就變的民進黨！ 我也願普天之下，再也不會有人被抹成中共同路人！,yes,"民進黨, 賴",yes,"民進黨, 賴",Criticism on 兩岸 policy
1171,527,TerryGou1018,https://www.facebook.com/100044631150325/posts/853099679521063,2023-09-01 12:34:26 CST,"【計天下利求萬世名 播下善意種子永保兩岸和平】 「計利應計天下利，求名當求萬世名」，每當看到牆上郝龍斌市長贈送的對聯，就讓我想起2008年的一段往事。 2010年中國大陸舉辦「上海世界博覽會」，這是中國大陸首次舉辦綜合性世界博覽會，主題是「城市，讓生活更美好（Better City, Better Life）」。開展前三年，策展單位啟動參展徵集與遴選工作。 當時(2007年)，中央是民進黨執政，兩岸關係低靡且緊張，台北市長郝龍斌的「無線寬頻」「環保永續」兩項提案，在全球113個提案中脫穎而出，入選「城市最佳實踐區」參展項目，向全世界介紹台北市在「垃圾分類、減量、轉化為電力與熱能」及「無線寬頻城市」的成就。 這是台北躍上國際的重要契機，也是所有台灣人民的榮耀。 台北市獲得參展邀約後，台銘從媒體上得知「北市府公務預算無法拿至上海使用，也無法在對岸進行設館工程招標。」 台銘立刻主動聯繫郝市長，「作為台北市民、善盡企業社會責任，也協助台北城市行銷，我願意全額贊助北市參展費用，及半年展期的所有運營人力與物力。」世博會結束後，更將台北館搬回台北花博園區設展，讓所有台灣人都能共享這份榮耀。 最後，兩座「台北館」實支新台幣五億五千萬元；政黨輪替後，馬政府以「台灣館」參展（天燈造型），台銘也以個人名義捐贈新台幣一億元。但會展期間讓台北、台灣躍上世界舞台的「有形」成就，與藉由會展累積兩岸「無形」的善意螺旋，卻是多少金錢都無法衡量的。 馬政府執政期間，經濟架構協議、觀光客從400萬突破千萬人次、參加國際組織、舉辦世界級賽會，兩岸和平、穩定、友善，世博台灣館可說是兩岸間的第一根「橄欖枝」。 而世博台北館的影響更是延續至今，策展期間的緊密互動，讓台北與上海都發現深入交流學習的必要，因而促成2010年的第一屆「台北上海城市論壇」（雙城論壇），將城市交流常態化、組織化，從郝龍斌、柯文哲到今天的蔣萬安市長已經舉辦十四屆，共計簽署四十八項交流合作備忘錄，二十八個協定，成功促成松山虹橋直飛航班，更將台北傲人的1999與Yobike城市治理經驗輸出至上海。 「雙城論壇」更是蔡英文政府執政八年期間，兩岸唯一的官方交流平台，延續兩岸善意的薪火。 作為一位台北人，台銘以台北市文化底蘊為榮；作為一位台灣人，我以台灣的自由民主為榮；作為一位中華民國公民，我以青天白日滿地紅的精神為榮。「計利應計天下利，求名當求萬世名」不僅是台銘創業48年來的核心價值，更是人生奮鬥的終極目標。 不論是上海世博會台北館與台灣館，或是兩年前捐贈BNT疫苗，台銘不計個人毀譽，不算利害得失，只要為人民好，只要為台灣好，只要為中華民國好，粉身碎骨在所不惜。 為了兩岸和平，十五年前，台銘不怕得罪當道，播下兩岸善意的種子，以實際的行動促進兩岸交流與善意；十五年後，台銘一本初心以「國家CEO」的精神，倡議「和平、繁榮、清廉」的價值。 「戰爭無情，和平無價，敵意無情，善意無價。」給我四年的時間。台銘保證，我會為台海帶來未來五十年的和平，奠定兩岸最深厚的互信根基。",yes,"民進黨, 蔡, 柯",yes,"民進黨, 蔡 ",
606,535,TerryGou1018,https://www.facebook.com/100044631150325/posts/853750539455977,2023-09-02 21:26:14 CST,傳統的政治人物被環境改變，我來是為了改變台灣！ 中研院，是全台灣頂尖人才匯集之地，台灣下個世代的產業轉型，得仰賴院士們的前端研究。在福德宮前我有很深的感觸，必須告別意識形態領政，台灣才能迎向改變！ 一個懂科技、懂產業，拚經濟的領導人，能夠改變台灣50年的未來。我希望這時代的年輕人，也能擁有一個充滿機會的台灣，一個能夠發光發熱的舞台，為此我絕對不會停下腳步。 阿銘還有很多事需要學習，我希望能集思廣益，尤其是年輕人的想法，對我來說非常重要，也請大家不吝指教！ 接下來，我的Youtube除了行程紀錄外，不定期將推出更多企劃，向大家說明我的理念與政綱，請大家按讚、訂閱，開啟小鈴鐺，阿銘感謝大家！,yes,賴,no,,
1088,547,TerryGou1018,https://www.facebook.com/100044631150325/posts/854719149359116,2023-09-04 20:26:57 CST,主流民意大聯盟集結！阿銘的總統連署活動，即將展開！ 數次的政黨輪替，並沒有幫台灣找到新的出路，除了顏色不同，傳統政治體系複製一樣的人選，帶來一次次的失望。他們以意識形態領政，將政黨利益放在人民之上，在與怪物搏鬥後，遺忘了原本的初衷。 請各位認真回想，多久沒看到健康的政策討論了？顏色領政，讓公共議題討論空間被極度壓縮，執政黨不僅禁不起批評，底下的側翼甚至出征無辜平民，讓民主退步、天怒人怨。 請各位認真回想，上次投票時抱持的期望，如今真的實現了嗎？打開新聞，詐騙橫行、治安敗壞、房價高漲、人口負成長。如果不做改變，你能想像未來台灣的樣貌嗎，你希望下一代生活在什麼樣的台灣？ 如果你感到憤怒、無奈，請你站出來。這是一場艱難的戰役，阿銘不走傳統老路，我相信民意的直接連署，更加真實、更加溫暖，更能象徵台灣人民超越黨派的意志！請各位助我一臂之力，向一切貪贓枉法發出怒吼！ 連署相關辦法、活動與據點，近期將會在各大社群平台公告，請一定要追蹤按讚，並把圖文分享出去，阿銘將與各位一同改變台灣，謝謝大家！🇹🇼ÛG LEAGUE 主流民意大聯盟 集結 集 總統連署即將展開！ 快按讚、 訂閲 加入阿銘所有平台 立即接收最新消息與連署活動 f 郭台銘 Facebook LINE YouTube LINE Instagram TikTok terrygou1018,yes,"執政黨, 主流民意大聯盟",yes,執政黨/民進黨,
1058,551,TerryGou1018,https://www.facebook.com/100044631150325/posts/855063669324664,2023-09-05 14:26:27 CST,我是唯一中華民國派候選人，我在走一條比較艱難的路，但只有這樣才能維護中華民國主體的完整性！#郭台銘 #主流民意大聯盟 #快狠準銘言,yes,主流民意大聯盟,no,,
1291,554,TerryGou1018,https://www.facebook.com/100044631150325/posts/855101235987574,2023-09-05 17:00:14 CST,為了解決台灣長照問題，我支持重新研議 #巴氏量表 門檻。 近期，侯友宜市長提出80歲以上長者免巴氏量表，可以直接申請外籍看護，對此我給予肯定，也感謝過去侯市長支持「0-6歲國家養」，有利於民的政策就該相互採納，共同琢磨出更好的治國方針。 我認為，巴氏量表議題對全台影響重大，因為國人平均餘命79.84歲，門檻訂在80歲，的確與人民需求出現落差，但因量表評估涉及長照補助，即便政策立意良善，但也等同全民分擔了國家的長照職責，政府現行措施必須重新檢視。 我個人傾向放寬，但後續政府的角色定位、補助該如何調整、人力品質如何把關，以及受僱者勞動權益的提升，皆需從長計議、凝聚社會共識。我呼籲衛福部，在認定方式調整有初步方案後，應向全民慎重報告，以利政院其他部會研議相關配套措施。 長照產業工作時長極長，且需要高度專業，必須提供相應報酬，絕不能讓他們只是「功德台灣」！給予相應保障，國家才對得起這份神聖的職業！,yes,侯,no,,
